"filename", "language", "C++", "YAML", "Markdown", "Dart", "Swift", "JSON", "HTML", "XML", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\amrit\Documents\femunity-v2\lib\features\user_profile\controller\user_profile_controller.dart", "Dart", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 7, 93
"c:\Users\amrit\Documents\femunity-v2\lib\features\user_profile\repository\user_profile_repository.dart", "Dart", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 6, 62
"c:\Users\amrit\Documents\femunity-v2\lib\features\user_profile\screens\edit_profie_screen.dart", "Dart", 0, 0, 0, 167, 0, 0, 0, 0, 0, 0, 3, 15, 185
"c:\Users\amrit\Documents\femunity-v2\lib\features\user_profile\screens\user_profile_screen.dart", "Dart", 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 6, 142
"c:\Users\amrit\Documents\femunity-v2\lib\firebase_options.dart", "Dart", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 12, 4, 70
"c:\Users\amrit\Documents\femunity-v2\lib\main.dart", "Dart", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 6, 68
"c:\Users\amrit\Documents\femunity-v2\lib\models\comment_model.dart", "Dart", 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 8, 85
"c:\Users\amrit\Documents\femunity-v2\lib\models\community_model.dart", "Dart", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 9, 87
"c:\Users\amrit\Documents\femunity-v2\lib\models\post_model.dart", "Dart", 0, 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 9, 151
"c:\Users\amrit\Documents\femunity-v2\lib\models\user_model.dart", "Dart", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 9, 95
"c:\Users\amrit\Documents\femunity-v2\lib\router.dart", "Dart", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 3, 64
"c:\Users\amrit\Documents\femunity-v2\lib\theme\pallate.dart", "Dart", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 2, 10, 91
"c:\Users\amrit\Documents\femunity-v2\linux\flutter\generated_plugin_registrant.cc", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"c:\Users\amrit\Documents\femunity-v2\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\amrit\Documents\femunity-v2\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\amrit\Documents\femunity-v2\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\Users\amrit\Documents\femunity-v2\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\amrit\Documents\femunity-v2\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 4, 23
"c:\Users\amrit\Documents\femunity-v2\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\amrit\Documents\femunity-v2\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 1, 69
"c:\Users\amrit\Documents\femunity-v2\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"c:\Users\amrit\Documents\femunity-v2\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\amrit\Documents\femunity-v2\pubspec.yaml", "YAML", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 51, 16, 131
"c:\Users\amrit\Documents\femunity-v2\test\widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\amrit\Documents\femunity-v2\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 16, 7, 62
"c:\Users\amrit\Documents\femunity-v2\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 1, 36
"c:\Users\amrit\Documents\femunity-v2\windows\flutter\generated_plugin_registrant.cc", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"c:\Users\amrit\Documents\femunity-v2\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\amrit\Documents\femunity-v2\windows\runner\flutter_window.cpp", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 67
"c:\Users\amrit\Documents\femunity-v2\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\amrit\Documents\femunity-v2\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\amrit\Documents\femunity-v2\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\amrit\Documents\femunity-v2\windows\runner\utils.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"c:\Users\amrit\Documents\femunity-v2\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\amrit\Documents\femunity-v2\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\amrit\Documents\femunity-v2\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 536, 67, 13, 3604, 48, 302, 39, 466, 90, 8, 298, 602, 6073
